Unnamed: 0,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,duration_ms,time_signature,genre,song_name,title,text_feature
39059,0.524,0.976,1,-3.639,1,0.063,0.002,0.138,0.3329999999999999,0.143,150.001,audio_features,294400,4,hardstyle,,Euphoric Hardstyle,Euphoric Hardstyle 
4132,0.54,0.522,7,-9.615,0,0.06,0.00357,0.0139,0.095,0.192,196.028,audio_features,257463,4,Dark Trap,Smoked OUT,, Smoked OUT
36190,0.535,0.762,3,-5.28,0,0.118,0.0406,0.0522,0.226,0.129,175.021,audio_features,327771,4,dnb,,Liquid Drum and Bass,Liquid Drum and Bass 
1646,0.48,0.813,11,-5.305,0,0.211,0.264,0.0,0.104,0.153,204.514,audio_features,140016,3,Dark Trap,Life & Death,, Life & Death
19677,0.715,0.529,11,-9.019,0,0.0507,0.259,7.48e-06,0.128,0.467,148.037,audio_features,283321,4,Hiphop,BANG!,, BANG!
41015,0.556,0.91,6,-2.069,0,0.145,0.562,0.0139,0.317,0.182,154.996,audio_features,159826,4,hardstyle,,Hardstyle Hits ,Hardstyle Hits  
24522,0.789,0.74,6,-12.776,1,0.0967,0.0223,0.75,0.113,0.239,128.002,audio_features,397500,4,techno,,|DARK|HARD|TECHNO,|DARK|HARD|TECHNO 
16052,0.7909999999999999,0.6809999999999999,10,-5.549,0,0.262,0.0566,0.0,0.293,0.866,189.93,audio_features,196493,4,RnB,So Amazing,, So Amazing
38402,0.588,0.8959999999999999,1,-1.779,1,0.0525,0.0015199999999999,0.00159,0.072,0.1119999999999999,174.046,audio_features,250264,4,dnb,,DRUM & BASS 2020,DRUM & BASS 2020 
38149,0.705,0.804,4,-8.647,0,0.0808,0.0020399999999999,0.888,0.0744,0.346,173.032,audio_features,330907,4,dnb,,Liquid Drum & Bass,Liquid Drum & Bass 
28418,0.4579999999999999,0.98,0,-5.711,0,0.0472,0.0006129999999999,0.0422,0.6659999999999999,0.4370000000000001,137.959,audio_features,224700,4,trance,,Uplifting | Trance,Uplifting | Trance 
23207,0.807,0.932,8,-6.595,0,0.0464,0.000512,0.421,0.575,0.589,124.004,audio_features,460645,4,techhouse,,Tech House Essentials by Distortion,Tech House Essentials by Distortion 
4744,0.508,0.5710000000000001,8,-10.136,1,0.227,0.0561,0.0,0.0897,0.21,119.977,audio_features,187237,5,Underground Rap,Knock Knock,, Knock Knock
38173,0.488,0.922,1,-6.294,1,0.1009999999999999,0.00502,0.906,0.0625,0.107,174.032,audio_features,317594,4,dnb,,Liquid Drum and Bass,Liquid Drum and Bass 
28933,0.516,0.987,1,-6.249,0,0.0491,0.00033,0.4920000000000001,0.243,0.0975,137.97,audio_features,394669,4,trance,,Vocal Melodic Trance Top 1000,Vocal Melodic Trance Top 1000 
34981,0.6890000000000001,0.924,1,-3.033,1,0.461,0.00271,0.2239999999999999,0.524,0.53,150.095,audio_features,102400,4,trap,,Riddim Dubstep 2017-2018-2019,Riddim Dubstep 2017-2018-2019 
12440,0.494,0.723,6,-4.559,0,0.0441,0.0192,0.0322,0.134,0.152,144.036,audio_features,225787,4,Emo,All I Wanted,, All I Wanted
41588,0.52,0.977,1,-3.489,1,0.08,0.00513,0.00173,0.7709999999999999,0.7170000000000001,150.056,audio_features,181109,4,hardstyle,,Euphoric Hardstyle,Euphoric Hardstyle 
7398,0.688,0.738,0,-6.609,1,0.315,0.102,0.0,0.327,0.716,161.94,audio_features,193709,4,Underground Rap,Ballin (feat. Missippi),, Ballin (feat. Missippi)
37824,0.623,0.857,1,-3.489,1,0.111,0.0015199999999999,0.353,0.098,0.0723,174.015,audio_features,333793,4,dnb,,Drum and Bass - 2015 to 2020,Drum and Bass - 2015 to 2020 
18715,0.857,0.721,10,-12.702,0,0.341,0.118,0.0,0.178,0.594,109.806,audio_features,193200,4,Hiphop,The Nigga Ya Love To Hate,, The Nigga Ya Love To Hate
31901,0.677,0.912,6,-8.794,0,0.0443,0.00328,0.8390000000000001,0.2019999999999999,0.0837,135.02100000000002,audio_features,547556,4,psytrance,,PSYTRANCE BANGERS best new 2020,PSYTRANCE BANGERS best new 2020 
4994,0.7609999999999999,0.728,8,-7.185,0,0.0857,0.0224,2.84e-05,0.0945,0.233,166.002,audio_features,92530,4,Underground Rap,Searchin fo a Lick,, Searchin fo a Lick
19811,0.802,0.616,2,-9.74,1,0.7120000000000001,0.7140000000000001,0.0,0.0929,0.606,183.788,audio_features,206811,4,Hiphop,Old niggas,, Old niggas
12310,0.5529999999999999,0.7170000000000001,7,-5.857,1,0.0318,6.48e-05,0.128,0.0385,0.318,127.947,audio_features,233267,4,Emo,"Swing, Swing",," Swing, Swing"
24472,0.5920000000000001,0.647,9,-11.451,0,0.0567,0.00124,0.84,0.33,0.0407,139.987,audio_features,468960,4,techno,,Dark Techno Rave,Dark Techno Rave 
3510,0.496,0.846,11,-7.557,0,0.0335,0.0212,0.838,0.0744,0.0928,136.989,audio_features,243504,4,Dark Trap,Unda,, Unda
8399,0.594,0.645,1,-7.45,1,0.315,0.0287,1.66e-05,0.0668,0.205,207.948,audio_features,241682,4,Underground Rap,NEVER,, NEVER
12320,0.389,0.905,8,-4.494,0,0.0354,0.00844,0.00016,0.124,0.672,121.836,audio_features,190493,4,Emo,Girl's Not Grey,, Girl's Not Grey
33714,0.748,0.8240000000000001,9,-4.267,1,0.166,0.00724,0.0269,0.185,0.472,144.94799999999995,audio_features,222384,4,trap,,Headbangers:Dubstep/Riddim,Headbangers:Dubstep/Riddim 
29586,0.422,0.963,9,-5.237,0,0.0833,0.00391,0.288,0.598,0.037,132.001,audio_features,270909,4,trance,,Vocal Melodic Trance Top 1000,Vocal Melodic Trance Top 1000 
6637,0.934,0.568,6,-9.046,0,0.231,0.00857,0.0,0.11,0.312,140.047,audio_features,151615,4,Underground Rap,CarryTheBag,, CarryTheBag
13425,0.508,0.907,6,-3.443,0,0.0565,0.0423,6.829999999999999e-05,0.221,0.5870000000000001,104.997,audio_features,244720,4,Emo,Just One Yesterday,, Just One Yesterday
40786,0.441,0.907,11,-3.963,1,0.0472,0.00185,0.287,0.3279999999999999,0.233,150.05200000000005,audio_features,232503,4,hardstyle,,Greatest Hardstyle Playlist,Greatest Hardstyle Playlist 
12089,0.7170000000000001,0.865,3,0.16,1,0.0403,0.000388,0.677,0.4,0.407,164.96,audio_features,162995,4,Trap Metal,Kys,, Kys
26345,0.7070000000000001,0.8909999999999999,1,-9.963,0,0.0441,0.0156,0.8690000000000001,0.622,0.043,130.0,audio_features,460000,4,techno,,DARK UNDERGROUND TECHNO,DARK UNDERGROUND TECHNO 
36920,0.472,0.917,10,-4.559,0,0.0358,0.0001149999999999,0.732,0.104,0.0738,174.02,audio_features,281401,4,dnb,,Liqduicity Drum & Bass,Liqduicity Drum & Bass 
7022,0.544,0.446,6,-11.735,1,0.536,0.607,0.0,0.0923,0.469,115.192,audio_features,210452,5,Underground Rap,I Think I Love You,, I Think I Love You
4086,0.725,0.903,1,-3.795,1,0.16,0.0118,0.0,0.0581,0.7290000000000001,151.878,audio_features,126316,4,Dark Trap,Be a Witness (feat. Shakewell),, Be a Witness (feat. Shakewell)
19910,0.6990000000000001,0.575,1,-9.922,1,0.159,0.218,0.0,0.112,0.234,148.767,audio_features,116240,4,Hiphop,Did It Again,, Did It Again
24963,0.6829999999999999,0.888,1,-9.229,1,0.0874,0.0503,0.828,0.108,0.0678,130.004,audio_features,374769,4,techno,,Dark Techno Rave,Dark Techno Rave 
27760,0.418,0.962,4,-5.5710000000000015,0,0.1889999999999999,0.0014199999999999,0.0156,0.31,0.0517,137.954,audio_features,259130,4,trance,,Top Trance Songs EVER,Top Trance Songs EVER 
32643,0.635,0.921,7,-5.814,1,0.0467,0.000138,0.863,0.31,0.204,141.991,audio_features,449577,4,psytrance,,Psytrance 2020,Psytrance 2020 
24361,0.621,0.838,6,-10.602,1,0.0381,0.000316,0.922,0.1119999999999999,0.5710000000000001,130.0,audio_features,443077,4,techno,,Dark Techno Rave,Dark Techno Rave 
22609,0.626,0.968,11,-7.188,0,0.0476,0.000752,0.7909999999999999,0.128,0.581,124.001,audio_features,212923,4,techhouse,,Tech House Top 50,Tech House Top 50 
29561,0.395,0.917,3,-7.145,0,0.0548,0.00257,0.867,0.65,0.417,139.982,audio_features,507429,4,trance,,Top Trance Songs EVER,Top Trance Songs EVER 
33612,0.38,0.91,1,-3.397,1,0.16,0.00151,0.0568,0.317,0.272,144.836,audio_features,275595,4,trap,,Headbangers:Dubstep/Riddim,Headbangers:Dubstep/Riddim 
4974,0.83,0.574,11,-6.892,1,0.701,0.281,0.0,0.124,0.5379999999999999,143.892,audio_features,190746,4,Underground Rap,"Suburban, Pt. 2",," Suburban, Pt. 2"
32331,0.621,0.98,5,-6.311,0,0.0516,5.76e-05,0.715,0.129,0.42,145.989,audio_features,447123,4,psytrance,,PSYTRANCE BANGERS best new 2020,PSYTRANCE BANGERS best new 2020 
8350,0.7440000000000001,0.638,5,-4.86,0,0.049,0.00829,0.0,0.182,0.48,196.038,audio_features,156719,4,Underground Rap,Candy (feat. Trippie Redd),, Candy (feat. Trippie Redd)
37842,0.59,0.809,8,-5.972,1,0.0524,0.000243,0.882,0.0797,0.185,174.00400000000005,audio_features,315375,4,dnb,,Liquid Drum & Bass,Liquid Drum & Bass 
26644,0.715,0.938,0,-8.274,1,0.0613,0.0243,0.922,0.0667,0.0743,125.996,audio_features,454000,4,techno,,Techno,Techno 
19379,0.884,0.346,8,-8.228,0,0.351,0.0151,7.04e-06,0.0871,0.376,150.032,audio_features,220307,4,Hiphop,Bank Account,, Bank Account
33451,0.479,0.948,9,-1.942,1,0.364,0.00789,0.0311,0.124,0.1669999999999999,144.142,audio_features,179200,4,trap,,I'm a fucking Headbanger,I'm a fucking Headbanger 
